Fecha,Descripción,Total,Category,Medio de pago
22/10/2025,Supermercado,"ARS 14,850.00",Supermercado,Billetera virtual
26/10/2025,Mascotas,ARS 600.00,Bendis,Billetera virtual
28/10/2025,Libreria,"ARS 10,800.00",Educación,Billetera virtual
28/10/2025,Restaurante,"ARS 16,500.00",Resto/Cafe,Billetera virtual
29/10/2025,Tranporte,ARS 502.00,Transporte,Billetera virtual
29/10/2025,Supermercado,"ARS 4,500.00",Supermercado,Billetera virtual
29/10/2025,Supermercado,"ARS 4,450.00",Supermercado,Billetera virtual
30/10/2025,Consulta médica,"ARS 9,000.00",Salud,Billetera virtual
30/10/2025,Delivery,"ARS 18,680.00",Resto/Cafe,Billetera virtual
30/11/2025,Deporte,"ARS 90,000.00",Deporte,Efectivo
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
10/08/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
03/10/2025,Agip,"ARS 9,960.00",Servicio Básico,Pago compartido
03/10/2025,Metrogas,"ARS 11,210.00",Servicio Básico,Pago compartido
04/10/2025,Mascotas,"ARS 28,750.00",Bendis,Pago compartido
17/10/2025,Supermercado,"ARS 8,902.00",Supermercado,Pago compartido
17/10/2025,Mascotas,"ARS 4,500.00",Bendis,Pago compartido
18/10/2025,Artículo hogar,"ARS 4,300.00",Supermercado,Pago compartido
18/10/2025,Supermercado,"ARS 14,200.00",Supermercado,Pago compartido
18/10/2025,Supermercado,"ARS 19,050.00",Supermercado,Pago compartido
20/10/2025,Aysa,"ARS 13,601.00",Servicio Básico,Pago compartido
20/10/2025,Edesur,"ARS 10,369.00",Servicio Básico,Pago compartido
21/10/2025,Mascotas,"ARS 28,995.00",Bendis,Pago compartido
22/10/2025,Supermercado,"ARS 3,000.00",Supermercado,Pago compartido
24/10/2025,Supermercado,"ARS 4,900.00",Supermercado,Pago compartido
25/10/2025,Supermercado,"ARS 2,100.00",Supermercado,Pago compartido
25/10/2025,Nafta,"ARS 10,000.00",Auto,Pago compartido
26/10/2025,Artículo hogar,"ARS 5,650.00",Deco/Insumos,Pago compartido
28/10/2025,Supermercado,"ARS 4,600.00",Supermercado,Pago compartido
28/10/2025,Restaurante,"ARS 10,370.00",Resto/Cafe,Pago compartido
29/10/2025,Mascotas,"ARS 25,750.00",Bendis,Pago compartido
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
01/06/2025,Regalo,"ARS 11,667.00",Regalos,Tarjeta crédito
24/06/2025,Recreación,"ARS 7,253.00",Recreación,Tarjeta crédito
01/09/2025,Streaming,"ARS 9,059.00",Streaming,Tarjeta crédito
01/09/2025,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
01/09/2025,Streaming,"ARS 3,321.00",Streaming,Tarjeta crédito
01/10/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
01/10/2025,Internet,"ARS 26,123.00",Servicio Básico,Tarjeta crédito
04/10/2025,Nafta,"ARS 15,000.00",Auto,Tarjeta crédito
04/10/2025,Ropa,"ARS 16,000.00",Ropa/Accesorios,Tarjeta crédito
04/10/2025,Ropa,"ARS 79,998.00",Ropa/Accesorios,Tarjeta crédito
16/10/2025,Bienestar,"ARS 25,289.99",Bienestar,Tarjeta crédito
17/10/2025,Artículo hogar,"ARS 73,532.00",Deco/Insumos,Tarjeta crédito
23/10/2025,Obra social,"ARS 186,054.00",Salud,Tarjeta crédito
30/10/2025,Restaurante,"ARS 16,300.00",Resto/Cafe,Tarjeta débito
21/10/2025,Streaming,"ARS 9,059.00",Streaming,Tarjeta crédito